"species_names","Limb_width","Limb_length","Observer"
"Urukhai isengard",12.5201238011941,98.7126323510893,"Gandalf"
"Ent fanghorn",2.64743671193719,93.4888835577294,"Legolas"
"Hobbit westfarthing",24.5497005044017,25.2918820735067,"Gimli"
"Ent fanghorn",16.4542466010898,88.5407074540854,"Legolas"
"Orc mordor",24.6864137505181,26.5836815326475,"Gandalf"
"Orc mordor",17.1586143355817,26.1808718089014,"Gandalf"
"Elf lothlorien",8.42195280874148,110.073358812369,"Gandalf"
"Ent fanghorn",15.0522909651045,101.584648189601,"Legolas"
"Ent fanghorn",4.8815477155149,51.0111633385532,"Gandalf"
"Urukhai isengard",12.941110067768,89.4613368366845,"Legolas"
"Ent fanghorn",3.36325960792601,38.7318806070834,"Legolas"
"Hobbit westfarthing",8.29680552589707,90.9307650080882,"Gandalf"
"Orc mordor",29.0475043235347,93.613867610693,"Gimli"
"Ent fanghorn",14.6265991814435,70.3307685442269,"Gandalf"
"Urukhai isengard",14.8199521747883,56.6585450526327,"Gimli"
"Urukhai isengard",6.09458560938947,64.6487570297904,"Gandalf"
"Hobbit westfarthing",9.7585788606666,79.9779320764355,"Gandalf"
"Ent fanghorn",4.34889111225493,40.7382627693005,"Gandalf"
"Hobbit westfarthing",9.24693512869999,38.324348044116,"Legolas"
"Elf lothlorien",25.9062113359105,118.625498658512,"Legolas"
"Orc mordor",15.7127620612737,110.85531652905,"Legolas"
"Ent fanghorn",19.5678455932066,104.045565491542,"Gimli"
"Urukhai isengard",16.454092403641,114.045405513607,"Gimli"
"Hobbit westfarthing",25.1885708249174,110.803417006973,"Gandalf"
"Ent fanghorn",19.9529250760097,98.7740211421624,"Legolas"
"Hobbit westfarthing",14.3095318875276,119.369648434222,"Legolas"
"Orc mordor",24.1989811516833,24.8376369057223,"Gimli"
"Elf lothlorien",29.161836191779,23.3358219265938,"Gandalf"
"Ent fanghorn",18.1435091060121,115.349406844471,"Gimli"
"Urukhai isengard",28.7238634256646,100.117478019092,"Gandalf"
"Elf lothlorien",10.4349949061871,21.0329468362033,"Legolas"
"Urukhai isengard",18.1107187825255,79.185420810245,"Gandalf"
"Orc mordor",11.4074551449157,46.1525049433112,"Gimli"
"Elf lothlorien",10.6398068016861,66.3118216092698,"Gimli"
"Elf lothlorien",16.905411841115,44.3156427284703,"Legolas"
"Urukhai isengard",23.9859424505848,80.9256889205426,"Gandalf"
"Hobbit westfarthing",19.4952259613201,33.2994768721983,"Gimli"
"Orc mordor",18.5934120093007,41.5077567379922,"Legolas"
"Orc mordor",21.7022482401226,57.9617571178824,"Gandalf"
"Urukhai isengard",23.0662007916253,108.574608259369,"Gimli"
"Elf lothlorien",25.6951357100625,20.7943546609022,"Legolas"
"Urukhai isengard",26.0409557404928,33.0748841026798,"Legolas"
"Urukhai isengard",10.0116104597691,65.0283465627581,"Legolas"
"Urukhai isengard",13.9590050773695,18.1552157690749,"Gandalf"
"Hobbit westfarthing",8.12186862481758,14.6516212215647,"Gandalf"
"Urukhai isengard",28.0168633759022,21.73659353517,"Legolas"
"Orc mordor",8.47399694938213,57.783310583327,"Gimli"
"Orc mordor",23.1762715044897,14.8927919496782,"Legolas"
"Ent fanghorn",6.43834703601897,81.3360833749175,"Gimli"
"Urukhai isengard",27.7801481720526,119.79100829456,"Gandalf"
"Ent fanghorn",25.2428235332482,32.5194208766334,"Gandalf"
"Elf lothlorien",1.08045530924574,18.6103843804449,"Gandalf"
"Ent fanghorn",14.4783176358324,119.431850591209,"Gimli"
"Urukhai isengard",13.4219866113272,55.9942489443347,"Gandalf"
"Elf lothlorien",1.42067633895203,49.4150981819257,"Gandalf"
"Ent fanghorn",13.5382971183863,63.278934143018,"Legolas"
"Hobbit westfarthing",20.8832127412315,48.4904435882345,"Gimli"
"Orc mordor",11.1165271443315,63.1573558389209,"Legolas"
"Orc mordor",27.0617181460839,82.5015757489018,"Legolas"
"Urukhai isengard",18.4177120479289,100.692611110862,"Legolas"
"Ent fanghorn",20.9401177442633,57.8975735628046,"Gandalf"
"Hobbit westfarthing",22.692858066177,37.027938128449,"Gimli"
"Hobbit westfarthing",22.848879233934,65.299608730711,"Legolas"
"Elf lothlorien",5.01282698195428,89.5014039310627,"Gimli"
"Orc mordor",14.716247540433,23.6263653333299,"Legolas"
"Orc mordor",16.1309679190163,97.7945715328678,"Gandalf"
"Hobbit westfarthing",9.14375572581775,74.0887000109069,"Gimli"
"Urukhai isengard",13.4665161566809,50.1521045877598,"Legolas"
"Hobbit westfarthing",18.378916578833,67.5192959373817,"Legolas"
"Orc mordor",10.1620097777341,53.8614346622489,"Legolas"
"Urukhai isengard",28.293494645739,80.5422353488393,"Gimli"
"Urukhai isengard",19.5243254783563,89.7039550170302,"Gimli"
"Ent fanghorn",6.26588953565806,66.1697980808094,"Legolas"
"Ent fanghorn",18.5595919855405,27.5771824107505,"Gandalf"
"Hobbit westfarthing",29.3182904114947,75.8267980185337,"Gandalf"
"Orc mordor",15.7717249321286,34.8504969035275,"Legolas"
"Urukhai isengard",11.4376059891656,94.9293465749361,"Gandalf"
"Elf lothlorien",6.48589871497825,112.775840181857,"Gimli"
"Ent fanghorn",6.32976807560772,55.1608930225484,"Legolas"
"Elf lothlorien",18.1435633320361,82.1033800928853,"Legolas"
"Urukhai isengard",2.7318646395579,106.985928730574,"Legolas"
"Ent fanghorn",2.80077481572516,81.8183104763739,"Gimli"
"Ent fanghorn",16.5338224710431,60.8879405446351,"Gandalf"
"Orc mordor",17.9642530896235,57.9602525779046,"Gandalf"
"Elf lothlorien",29.9441204839386,72.234324766323,"Legolas"
"Orc mordor",15.7888488501776,117.147857458331,"Legolas"
"Hobbit westfarthing",19.1546653218102,16.1800984572619,"Legolas"
"Hobbit westfarthing",2.4192958639469,103.840027709957,"Gimli"
"Ent fanghorn",22.0038537168875,44.4995607738383,"Legolas"
"Orc mordor",8.47875748248771,68.969432420563,"Legolas"
"Hobbit westfarthing",24.192043151008,54.476106511429,"Legolas"
"Urukhai isengard",16.5939315967262,105.649574655108,"Legolas"
"Urukhai isengard",16.6190319866873,56.4497460983694,"Gandalf"
"Urukhai isengard",6.01455193432048,42.5466960552149,"Legolas"
"Urukhai isengard",9.72794736223295,64.8010062309913,"Legolas"
"Hobbit westfarthing",10.4990453273058,14.2948835110292,"Gimli"
"Ent fanghorn",14.1123532282654,43.5725958296098,"Gandalf"
"Elf lothlorien",22.5585525743663,57.3176329862326,"Gimli"
"Elf lothlorien",11.035490811104,27.2679682634771,"Gimli"
"Hobbit westfarthing",18.3280673688278,11.5000038710423,"Gandalf"
